sent_id,label,construction_type,dep_len_diff,info_status_diff,trigram_surp_diff,prev_valence,prev_arousal,emotion_coverage,val_x_tri_c,aro_x_tri_c
n01004009,1,SOV,0,0.0,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,0,SOV,0,-0.0,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,1,SOV,2,2.6666666666666643,0.0,0.0,0.5,0.0,-0.0,0.0
n01004009,0,SOV,-2,-2.6666666666666643,-0.0,0.0,0.5,0.0,0.0,-0.0
n01004009,1,SOV,4,5.333333333333332,0.0,0.0,0.5,0.0,-0.0,0.0
n01004009,0,SOV,-4,-5.333333333333332,-0.0,0.0,0.5,0.0,0.0,-0.0
n01004009,1,SOV,2,2.6666666666666643,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,0,SOV,-2,-2.6666666666666643,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,1,SOV,4,5.333333333333332,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,0,SOV,-4,-5.333333333333332,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,1,SOV,-12,-12.923076923076927,0.0,0.0,0.5,0.0,-0.0,0.0
n01004009,0,SOV,12,12.923076923076927,-0.0,0.0,0.5,0.0,0.0,-0.0
n01004009,1,SOV,-12,-12.923076923076927,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,0,SOV,12,12.923076923076927,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,1,SOV,-22,-17.02564102564103,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,0,SOV,22,17.02564102564103,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,1,SOV,-32,-21.128205128205124,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,0,SOV,32,21.128205128205124,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,1,SOV,-22,-17.02564102564103,0.0,0.0,0.5,0.0,-0.0,0.0
n01004009,0,SOV,22,17.02564102564103,-0.0,0.0,0.5,0.0,0.0,-0.0
n01004009,1,SOV,-32,-21.128205128205124,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,0,SOV,32,21.128205128205124,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,1,SOV,-8,-1.435897435897438,0.0,0.0,0.5,0.0,-0.0,0.0
n01004009,0,SOV,8,1.435897435897438,-0.0,0.0,0.5,0.0,0.0,-0.0
n01004009,1,SOV,-6,1.2307692307692264,0.0,0.0,0.5,0.0,-0.0,0.0
n01004009,0,SOV,6,-1.2307692307692264,-0.0,0.0,0.5,0.0,0.0,-0.0
n01004009,1,SOV,-20,-14.358974358974365,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,0,SOV,20,14.358974358974365,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,1,SOV,-30,-18.46153846153846,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,0,SOV,30,18.46153846153846,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,1,SOV,-16,-2.871794871794876,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,0,SOV,16,2.871794871794876,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,1,SOV,-28,-15.794871794871796,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,0,SOV,28,15.794871794871796,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,1,SOV,-8,-1.435897435897438,0.0,0.0,0.5,0.0,-0.0,0.0
n01004009,0,SOV,8,1.435897435897438,-0.0,0.0,0.5,0.0,0.0,-0.0
n01004009,1,SOV,-6,1.2307692307692264,0.0,0.0,0.5,0.0,-0.0,0.0
n01004009,0,SOV,6,-1.2307692307692264,-0.0,0.0,0.5,0.0,0.0,-0.0
n01004009,1,SOV,-20,-14.358974358974365,0.0,0.0,0.5,0.0,-0.0,0.0
n01004009,0,SOV,20,14.358974358974365,-0.0,0.0,0.5,0.0,0.0,-0.0
n01004009,1,SOV,-30,-18.46153846153846,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,0,SOV,30,18.46153846153846,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,1,SOV,-16,-2.871794871794876,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,0,SOV,16,2.871794871794876,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,1,SOV,-28,-15.794871794871796,-7.105427357601002e-15,0.0,0.5,0.0,4.4271855970046935e-16,-2.9297603851419646e-17
n01004009,0,SOV,28,15.794871794871796,7.105427357601002e-15,0.0,0.5,0.0,-4.4271855970046935e-16,2.9297603851419646e-17
n01004009,1,SOV,9,2.94230769230769,12.858636459645297,0.0,0.5,0.0,-0.8011843238445474,0.05301964513944495
n01004009,0,SOV,-9,-2.94230769230769,-12.858636459645297,0.0,0.5,0.0,0.8011843238445474,-0.05301964513944495
n01004009,1,SOV,9,2.94230769230769,12.85863645964529,0.0,0.5,0.0,-0.801184323844547,0.05301964513944492
n01004009,0,SOV,-9,-2.94230769230769,-12.85863645964529,0.0,0.5,0.0,0.801184323844547,-0.05301964513944492
n01004009,1,SOV,11,5.608974358974356,12.858636459645297,0.0,0.5,0.0,-0.8011843238445474,0.05301964513944495
n01004009,0,SOV,-11,-5.608974358974356,-12.858636459645297,0.0,0.5,0.0,0.8011843238445474,-0.05301964513944495
n01004009,1,SOV,13,8.275641025641024,12.858636459645297,0.0,0.5,0.0,-0.8011843238445474,0.05301964513944495
n01004009,0,SOV,-13,-8.275641025641024,-12.858636459645297,0.0,0.5,0.0,0.8011843238445474,-0.05301964513944495
n01004009,1,SOV,11,5.608974358974356,12.85863645964529,0.0,0.5,0.0,-0.801184323844547,0.05301964513944492
n01004009,0,SOV,-11,-5.608974358974356,-12.85863645964529,0.0,0.5,0.0,0.801184323844547,-0.05301964513944492
n01004009,1,SOV,13,8.275641025641024,12.85863645964529,0.0,0.5,0.0,-0.801184323844547,0.05301964513944492
n01004009,0,SOV,-13,-8.275641025641024,-12.85863645964529,0.0,0.5,0.0,0.801184323844547,-0.05301964513944492
n01004009,1,SOV,6,-0.8076923076923066,12.858636459645297,0.0,0.5,0.0,-0.8011843238445474,0.05301964513944495
n01004009,0,SOV,-6,0.8076923076923066,-12.858636459645297,0.0,0.5,0.0,0.8011843238445474,-0.05301964513944495
n01004009,1,SOV,6,-0.8076923076923066,12.85863645964529,0.0,0.5,0.0,-0.801184323844547,0.05301964513944492
n01004009,0,SOV,-6,0.8076923076923066,-12.85863645964529,0.0,0.5,0.0,0.801184323844547,-0.05301964513944492
n01004009,1,SOV,5,-1.3910256410256423,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-5,1.3910256410256423,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,4,-1.974358974358978,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-4,1.974358974358978,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,5,-1.3910256410256423,12.85863645964529,0.0,0.5,0.0,-0.801184323844547,0.05301964513944492
n01004009,0,SOV,-5,1.3910256410256423,-12.85863645964529,0.0,0.5,0.0,0.801184323844547,-0.05301964513944492
n01004009,1,SOV,4,-1.974358974358978,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-4,1.974358974358978,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,10,5.025641025641022,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-10,-5.025641025641022,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,12,7.69230769230769,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-12,-7.69230769230769,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,7,1.2756410256410255,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-7,-1.2756410256410255,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,6,0.6923076923076898,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-6,-0.6923076923076898,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,11,7.108974358974356,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-11,-7.108974358974356,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,8,3.3589743589743577,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-8,-3.3589743589743577,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,10,5.025641025641022,12.85863645964529,0.0,0.5,0.0,-0.801184323844547,0.05301964513944492
n01004009,0,SOV,-10,-5.025641025641022,-12.85863645964529,0.0,0.5,0.0,0.801184323844547,-0.05301964513944492
n01004009,1,SOV,12,7.69230769230769,12.85863645964529,0.0,0.5,0.0,-0.801184323844547,0.05301964513944492
n01004009,0,SOV,-12,-7.69230769230769,-12.85863645964529,0.0,0.5,0.0,0.801184323844547,-0.05301964513944492
n01004009,1,SOV,7,1.275641025641022,12.85863645964529,0.0,0.5,0.0,-0.801184323844547,0.05301964513944492
n01004009,0,SOV,-7,-1.275641025641022,-12.85863645964529,0.0,0.5,0.0,0.801184323844547,-0.05301964513944492
n01004009,1,SOV,6,0.6923076923076898,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-6,-0.6923076923076898,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,11,7.108974358974356,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-11,-7.108974358974356,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,8,3.3589743589743577,12.858636459645282,0.0,0.5,0.0,-0.8011843238445465,0.05301964513944489
n01004009,0,SOV,-8,-3.3589743589743577,-12.858636459645282,0.0,0.5,0.0,0.8011843238445465,-0.05301964513944489
n01004009,1,SOV,-15,-16.673076923076934,30.926178484896752,0.0,0.5,0.0,-1.9269204379700833,0.12751702048146976
n01004009,0,SOV,15,16.673076923076934,-30.926178484896752,0.0,0.5,0.0,1.9269204379700833,-0.12751702048146976
n01004009,1,SOV,-15,-16.673076923076934,30.926178484896738,0.0,0.5,0.0,-1.9269204379700824,0.1275170204814697
n01004009,0,SOV,15,16.673076923076934,-30.926178484896738,0.0,0.5,0.0,1.9269204379700824,-0.1275170204814697
n01004009,1,SOV,-25,-20.77564102564103,30.926178484896766,0.0,0.5,0.0,-1.9269204379700842,0.12751702048146982
n01004009,0,SOV,25,20.77564102564103,-30.926178484896766,0.0,0.5,0.0,1.9269204379700842,-0.12751702048146982
n01004009,1,SOV,-35,-24.878205128205124,30.926178484896766,0.0,0.5,0.0,-1.9269204379700842,0.12751702048146982
n01004009,0,SOV,35,24.878205128205124,-30.926178484896766,0.0,0.5,0.0,1.9269204379700842,-0.12751702048146982
n01004009,1,SOV,-25,-20.77564102564103,30.926178484896738,0.0,0.5,0.0,-1.9269204379700824,0.1275170204814697
