sent_id,label,construction_type,dep_len_diff,info_status_diff,trigram_surp_diff,lstm_surp_diff,adaptive_surp_diff,prev_valence,prev_arousal,val_x_adp_c,aro_x_adp_c
n01004009,1,SOV,0,0.0,7.105427357601002e-15,0.0018051299034596013,0.0018051299034596013,0.0,0.5,-0.00011247240605126713,7.443040108676395e-06
n01004009,0,SOV,0,-0.0,-7.105427357601002e-15,-0.0018051299034596013,-0.0018051299034596013,0.0,0.5,0.00011247240605126713,-7.443040108676395e-06
n01004009,1,SOV,2,2.6666666666666643,0.0,0.0018711712413619352,0.0018711712413619352,0.0,0.5,-0.0001165872501732799,7.715346453995726e-06
n01004009,0,SOV,-2,-2.6666666666666643,-0.0,-0.0018711712413619352,-0.0018711712413619352,0.0,0.5,0.0001165872501732799,-7.715346453995726e-06
n01004009,1,SOV,4,5.333333333333332,0.0,0.00178311612410198,0.00178311612410198,0.0,0.5,-0.00011110079134038778,7.352271326668904e-06
n01004009,0,SOV,-4,-5.333333333333332,-0.0,-0.00178311612410198,-0.00178311612410198,0.0,0.5,0.00011110079134038778,-7.352271326668904e-06
n01004009,1,SOV,2,2.6666666666666643,7.105427357601002e-15,0.002421515724108758,0.002421515724108758,0.0,0.5,-0.00015087761787088672,9.984565999261012e-06
n01004009,0,SOV,-2,-2.6666666666666643,-7.105427357601002e-15,-0.002421515724108758,-0.002421515724108758,0.0,0.5,0.00015087761787088672,-9.984565999261012e-06
n01004009,1,SOV,4,5.333333333333332,7.105427357601002e-15,0.0018051299034596013,0.0018051299034596013,0.0,0.5,-0.00011247240605126713,7.443040108676395e-06
n01004009,0,SOV,-4,-5.333333333333332,-7.105427357601002e-15,-0.0018051299034596013,-0.0018051299034596013,0.0,0.5,0.00011247240605126713,-7.443040108676395e-06
n01004009,1,SOV,-12,-12.923076923076927,0.0,0.00178311612410198,0.00178311612410198,0.0,0.5,-0.00011110079134038778,7.352271326668904e-06
n01004009,0,SOV,12,12.923076923076927,-0.0,-0.00178311612410198,-0.00178311612410198,0.0,0.5,0.00011110079134038778,-7.352271326668904e-06
